id,kind,source,status,bytes,path
0-761997625541-98f13708210194c475687be6106a3b84,full,https://devaaluminyum.com/resimler/0-761997625541-98f13708210194c475687be6106a3b84.jpg,200,71074,archive/references-images/0-761997625541-98f13708210194c475687be6106a3b84.jpg
0-761997625541-98f13708210194c475687be6106a3b84,thumb,https://devaaluminyum.com/resimler/0-761997625541-98f13708210194c475687be6106a3b84a.jpg,200,6053,archive/references-images/0-761997625541-98f13708210194c475687be6106a3b84a.jpg
0-648675657737-d3d9446802a44259755d38e6d163e820,full,https://devaaluminyum.com/resimler/0-648675657737-d3d9446802a44259755d38e6d163e820.jpg,200,45730,archive/references-images/0-648675657737-d3d9446802a44259755d38e6d163e820.jpg
0-648675657737-d3d9446802a44259755d38e6d163e820,thumb,https://devaaluminyum.com/resimler/0-648675657737-d3d9446802a44259755d38e6d163e820a.jpg,200,4551,archive/references-images/0-648675657737-d3d9446802a44259755d38e6d163e820a.jpg
0-648675657737-45c48cce2e2d7fbdea1afc51c7c6ad26,full,https://devaaluminyum.com/resimler/0-648675657737-45c48cce2e2d7fbdea1afc51c7c6ad26.jpg,200,61102,archive/references-images/0-648675657737-45c48cce2e2d7fbdea1afc51c7c6ad26.jpg
0-648675657737-45c48cce2e2d7fbdea1afc51c7c6ad26,thumb,https://devaaluminyum.com/resimler/0-648675657737-45c48cce2e2d7fbdea1afc51c7c6ad26a.jpg,200,5123,archive/references-images/0-648675657737-45c48cce2e2d7fbdea1afc51c7c6ad26a.jpg
0-648675657737-c9f0f895fb98ab9159f51fd0297e236d,full,https://devaaluminyum.com/resimler/0-648675657737-c9f0f895fb98ab9159f51fd0297e236d.jpg,200,58022,archive/references-images/0-648675657737-c9f0f895fb98ab9159f51fd0297e236d.jpg
0-648675657737-c9f0f895fb98ab9159f51fd0297e236d,thumb,https://devaaluminyum.com/resimler/0-648675657737-c9f0f895fb98ab9159f51fd0297e236da.jpg,200,4837,archive/references-images/0-648675657737-c9f0f895fb98ab9159f51fd0297e236da.jpg
0-648675657737-8f14e45fceea167a5a36dedd4bea2543,full,https://devaaluminyum.com/resimler/0-648675657737-8f14e45fceea167a5a36dedd4bea2543.jpg,200,53926,archive/references-images/0-648675657737-8f14e45fceea167a5a36dedd4bea2543.jpg
0-648675657737-8f14e45fceea167a5a36dedd4bea2543,thumb,https://devaaluminyum.com/resimler/0-648675657737-8f14e45fceea167a5a36dedd4bea2543a.jpg,200,4881,archive/references-images/0-648675657737-8f14e45fceea167a5a36dedd4bea2543a.jpg
